migration_wave,name,github_name,gitlab_url,gitlab_group,layer,domain,production_branch_hint,integration_branch_hint,has_pipeline,has_unit_test,stack_hint,has_docker,risk,shared_dependency_review,github_url,migration_status,notes
BE4,Mitf.billPayment.Gov.Api,mitf-billpayment-gov-api,http://10.10.20.51/back-end/other-projects/mitf.billpayment.gov.api,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-billpayment-gov-api,planned,Government bill payment API.
BE4,Mitf.Cub3,mitf-cub3,http://10.10.20.51/back-end/other-projects/Mitf.Cub3,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-cub3,planned,Cub3 product; verify outbound dependency.
BE4,Mitf.Customer.OCR,mitf-customer-ocr,http://10.10.20.51/back-end/other-projects/mitf.customer.ocr,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-customer-ocr,planned,Customer OCR service; vendor SDK risk.
BE4,Mitf.KYC.Api,mitf-kyc-api,http://10.10.20.51/back-end/other-projects/mitf.kyc.api,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-kyc-api,planned,KYC API; third-party KYC provider contracts.
BE4,Mitf.OCR,mitf-ocr,http://10.10.20.51/back-end/other-projects/mitf.ocr,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-ocr,planned,OCR service; vendor SDK risk.
BE4,Mitf.SoftPointOfSale.Management,mitf-softpointofsale-management,http://10.10.20.51/back-end/other-projects/mitf.softpointofsale.management,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-softpointofsale-management,planned,Soft POS management.
BE4,Mitf.Unpay.Gateway,mitf-unpay-gateway,http://10.10.20.51/back-end/other-projects/mitf.unpay.gateway,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-unpay-gateway,planned,Unpay gateway; payment-adjacent.
BE4,BillProviderApi,mitf-billproviderapi,http://10.10.20.51/back-end/other-projects/billproviderapi,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-billproviderapi,planned,Bill provider API.
BE4,Mitf.WhatsApp.Gateway,mitf-whatsapp-gateway-alt,http://10.10.20.51/back-end/other-projects/mitf.whatsapp.gateway,back-end/other-projects,backend,backend-other,main,,no,unknown,unknown,unknown,medium,no,https://github.com/mitf-dev-space/mitf-whatsapp-gateway-alt,planned,Duplicate of mitf-whatsapp-gateway. Gateways copy is newer (2026-04-23); this older-projects copy last active 2025-08-29.
BE2,Mitf.Unpay.Gateway,mitf-unpay-gateway-alt,http://10.10.20.51/back-end/gateways/mitf.unpay.gateway,back-end/gateways,backend,gateways,main,,no,unknown,unknown,unknown,medium,no,https://github.com/mitf-dev-space/mitf-unpay-gateway-alt,planned,Duplicate of mitf-unpay-gateway. Other-projects copy is newer (2026-06-11); this gateways copy last active 2025-02-21.
